"Span(""b'22-oxacalcitriol'"", sentence=8395, chars=[0,15], words=[0,0])","Span(""b'renal failure'"", sentence=8395, chars=[106,118], words=[12,13])"
"Span(""b'22-oxacalcitriol'"", sentence=8395, chars=[0,15], words=[0,0])","Span(""b'hyperparathyroidism'"", sentence=8395, chars=[38,56], words=[3,3])"
"Span(""b'22-oxacalcitriol'"", sentence=8395, chars=[0,15], words=[0,0])","Span(""b'low bone turnover'"", sentence=8395, chars=[75,91], words=[6,8])"
"Span(""b'Calcitriol'"", sentence=8396, chars=[12,21], words=[2,2])","Span(""b'hypercalcemia'"", sentence=8396, chars=[152,164], words=[24,24])"
"Span(""b'Calcitriol'"", sentence=8396, chars=[12,21], words=[2,2])","Span(""b'bone disease'"", sentence=8396, chars=[237,248], words=[37,38])"
"Span(""b'Calcitriol'"", sentence=8396, chars=[12,21], words=[2,2])","Span(""b'renal failure'"", sentence=8396, chars=[101,113], words=[16,17])"
"Span(""b'OCT'"", sentence=8398, chars=[54,56], words=[9,9])","Span(""b'impaired renal function'"", sentence=8398, chars=[119,141], words=[22,24])"
"Span(""b'OCT'"", sentence=8404, chars=[21,23], words=[6,6])","Span(""b'renal insufficiency'"", sentence=8404, chars=[94,112], words=[17,18])"
"Span(""b'OCT'"", sentence=8405, chars=[48,50], words=[7,7])","Span(""b'secondary hyperparathyroidism'"", sentence=8405, chars=[17,45], words=[4,5])"
"Span(""b'OCT'"", sentence=8409, chars=[12,14], words=[4,4])","Span(""b'fibrosis'"", sentence=8409, chars=[76,83], words=[15,15])"
"Span(""b'OCT'"", sentence=8412, chars=[40,42], words=[6,6])","Span(""b'adynamic bone disease'"", sentence=8412, chars=[310,330], words=[51,53])"
"Span(""b'OCT'"", sentence=8412, chars=[40,42], words=[6,6])","Span(""b'renal insufficiency'"", sentence=8412, chars=[130,148], words=[19,20])"
"Span(""b'OCT'"", sentence=8412, chars=[40,42], words=[6,6])","Span(""b'hyperparathyroidism'"", sentence=8412, chars=[199,217], words=[32,32])"
"Span(""b'OCT'"", sentence=8412, chars=[40,42], words=[6,6])","Span(""b'hypercalcemia'"", sentence=8412, chars=[90,102], words=[14,14])"
"Span(""b'levodopa'"", sentence=8024, chars=[13,20], words=[2,2])","Span(""b'dyskinesias'"", sentence=8024, chars=[30,40], words=[5,5])"
"Span(""b'apomorphine'"", sentence=8025, chars=[379,389], words=[69,69])","Span(""b""Parkinson's disease"""", sentence=8025, chars=[21,39], words=[4,6])"
"Span(""b'apomorphine'"", sentence=8025, chars=[379,389], words=[69,69])","Span(""b'dyskinesia'"", sentence=8025, chars=[312,321], words=[60,60])"
