,j,Coverage,Overlaps,Conflicts
LF_pos_keywords_in_dep_path,0,0.21453742423530517,0.20034769534370156,0.1387022506225626
LF_c_cause_d,1,0.013578912747263075,0.012921110745665555,0.0046515998684396
LF_c_d,2,0.008598411878024714,0.007188836160315745,0.002208335291077386
LF_c_induced_d,3,0.0016445050039937978,0.0016445050039937978,0.0007517737161114505
LF_c_treat_d,4,0.02227129633980172,0.02227129633980172,0.012357280458581968
LF_c_treat_d_wide,5,0.08692383592538645,0.08621904806653197,0.05365784898745478
LF_ctd_marker_c_d,6,0.0070008927312878826,0.0070008927312878826,0.002067377719306489
LF_ctd_marker_induce,7,0.008269510877225956,0.008269510877225956,0.0031950382934736645
LF_ctd_therapy_treat,8,0.03561527980077996,0.03561527980077996,0.019170229760841987
LF_ctd_unspecified_treat,9,0.05577221256401823,0.05577221256401823,0.03772964337734342
LF_ctd_unspecified_induce,10,0.006671991730489123,0.006671991730489123,0.002960109007188836
LF_d_following_c,11,0.00018794342902786262,0.00018794342902786262,0.0
LF_d_induced_by_c,12,0.015834233895597426,0.015364375323027769,0.005450359441808016
LF_d_induced_by_c_tight,13,0.007188836160315745,0.007188836160315745,0.0024902504346191795
LF_d_treat_c,14,0.015505332894798666,0.013250011746464315,0.008880327021566508
LF_develop_d_following_c,15,0.0003289010007987596,0.0003289010007987596,0.00018794342902786262
LF_far_c_d,16,0.22665977540760232,0.19607198233331768,0.14015881219752854
LF_far_d_c,17,0.2046703942113424,0.16642390640417234,0.13099657003242024
LF_improve_before_disease,18,0.0027721655781609736,0.0026312080063900767,0.0014565615749659352
LF_in_ctd_therapy,19,0.29572898557534183,0.2555560776206362,0.18103650801108867
LF_in_ctd_marker,20,0.5899074378612038,0.46219987783677113,0.3931306676690316
LF_in_patient_with,21,0.00216134943382042,0.001738476718507729,0.0007047878588544848
LF_induce,22,0.03566226565803693,0.03481652022741155,0.011511535027956585
LF_induce_name,23,0.005121458441009257,0.004839543297467462,0.002960109007188836
LF_induced_other,24,0.03890428980876756,0.036226095945120516,0.022553211483343515
LF_level,25,0.010712775454588168,0.008833341164309543,0.005544331156321947
LF_measure,26,0.004134755438612978,0.003805854437814218,0.0026312080063900767
LF_neg_d,27,0.02151952262369027,0.019405159047126815,0.01480054503594418
LF_risk_d,28,0.0036179110087863555,0.0036179110087863555,0.0036179110087863555
LF_treat_d,29,0.027909599210637598,0.026312080063900765,0.015928205610111358
LF_uncertain,30,0.01578724803834046,0.014941502607715079,0.008598411878024714
LF_weak_assertions,31,0.14715970492881641,0.13414462246863695,0.0942536296574731
