person1	person2	label
009a68cc-7d1b-44a2-8d92-f7e2669175f6::span:0:10	009a68cc-7d1b-44a2-8d92-f7e2669175f6::span:104:115	-1
009e5f06-f0e1-48c5-9585-c99660a07dda::span:619:622	009e5f06-f0e1-48c5-9585-c99660a07dda::span:722:734	-1
0328866c-f566-4abf-b406-7bd4cf6c8d95::span:18:23	0328866c-f566-4abf-b406-7bd4cf6c8d95::span:519:529	-1
0328866c-f566-4abf-b406-7bd4cf6c8d95::span:3549:3554	0328866c-f566-4abf-b406-7bd4cf6c8d95::span:3835:3842	-1
0328866c-f566-4abf-b406-7bd4cf6c8d95::span:3835:3842	0328866c-f566-4abf-b406-7bd4cf6c8d95::span:4073:4079	-1
0328866c-f566-4abf-b406-7bd4cf6c8d95::span:3835:3842	0328866c-f566-4abf-b406-7bd4cf6c8d95::span:4009:4022	-1
0328866c-f566-4abf-b406-7bd4cf6c8d95::span:3835:3842	0328866c-f566-4abf-b406-7bd4cf6c8d95::span:3999:4004	-1
05ae8661-f643-4974-ab9b-93648737e1ad::span:2820:2824	05ae8661-f643-4974-ab9b-93648737e1ad::span:3164:3170	-1
05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:150:159	05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:190:197	-1
05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:0:12	05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:190:197	-1
05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:1895:1900	05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:1931:1943	-1
05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:1823:1825	05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:1931:1943	-1
05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:1931:1943	05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:2086:2091	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2343:2348	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2540:2543	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2343:2348	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2549:2552	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2737:2740	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:3220:3230	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2758:2761	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:3220:3230	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:4022:4033	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:4091:4102	-1
07d7a528-1959-4bc8-8bb2-d2cbf2e1579f::span:27:38	07d7a528-1959-4bc8-8bb2-d2cbf2e1579f::span:428:438	-1
091bee07-7ae6-4ed2-9ea0-adbf2c5ebbbc::span:1080:1089	091bee07-7ae6-4ed2-9ea0-adbf2c5ebbbc::span:1225:1231	-1
091bee07-7ae6-4ed2-9ea0-adbf2c5ebbbc::span:2195:2212	091bee07-7ae6-4ed2-9ea0-adbf2c5ebbbc::span:2350:2356	-1
091bee07-7ae6-4ed2-9ea0-adbf2c5ebbbc::span:2179:2182	091bee07-7ae6-4ed2-9ea0-adbf2c5ebbbc::span:2330:2338	-1
091bee07-7ae6-4ed2-9ea0-adbf2c5ebbbc::span:2179:2182	091bee07-7ae6-4ed2-9ea0-adbf2c5ebbbc::span:2350:2356	-1
0a276dbf-609d-40f3-8906-a1b66c242bdb::span:1207:1221	0a276dbf-609d-40f3-8906-a1b66c242bdb::span:1369:1381	-1
0adbe573-1e48-4461-a2a9-6e1cd2deee7f::span:1221:1226	0adbe573-1e48-4461-a2a9-6e1cd2deee7f::span:1298:1303	-1
0adbe573-1e48-4461-a2a9-6e1cd2deee7f::span:1298:1303	0adbe573-1e48-4461-a2a9-6e1cd2deee7f::span:1486:1503	-1
0b6f824b-20e3-4260-945f-9df78013a6de::span:4242:4250	0b6f824b-20e3-4260-945f-9df78013a6de::span:4593:4606	-1
0b6f824b-20e3-4260-945f-9df78013a6de::span:5108:5116	0b6f824b-20e3-4260-945f-9df78013a6de::span:5464:5469	-1
0b6f824b-20e3-4260-945f-9df78013a6de::span:5464:5469	0b6f824b-20e3-4260-945f-9df78013a6de::span:5492:5494	-1
0b6f824b-20e3-4260-945f-9df78013a6de::span:8060:8064	0b6f824b-20e3-4260-945f-9df78013a6de::span:8198:8210	-1
0b6f824b-20e3-4260-945f-9df78013a6de::span:8198:8210	0b6f824b-20e3-4260-945f-9df78013a6de::span:8288:8292	-1
0c06d783-ba19-4bbb-ab0e-87ad327ae49b::span:678:697	0c06d783-ba19-4bbb-ab0e-87ad327ae49b::span:739:744	-1
0c06d783-ba19-4bbb-ab0e-87ad327ae49b::span:678:697	0c06d783-ba19-4bbb-ab0e-87ad327ae49b::span:701:708	-1
0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:373:384	0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:469:480	-1
0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:373:384	0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:426:430	-1
0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:469:480	0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:779:791	-1
0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:469:480	0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:822:831	-1
