person1	person2	label
0023c4a1-446c-488e-949a-1edbbb4354b3::span:611:621	0023c4a1-446c-488e-949a-1edbbb4354b3::span:823:828	-1
003f7920-17b2-458e-a095-a81c2dcb4619::span:32:45	003f7920-17b2-458e-a095-a81c2dcb4619::span:378:391	-1
003f7920-17b2-458e-a095-a81c2dcb4619::span:1333:1337	003f7920-17b2-458e-a095-a81c2dcb4619::span:1570:1584	-1
003f7920-17b2-458e-a095-a81c2dcb4619::span:2288:2292	003f7920-17b2-458e-a095-a81c2dcb4619::span:2405:2414	-1
004424ba-50ef-49d2-9053-b1218d07b04f::span:1186:1204	004424ba-50ef-49d2-9053-b1218d07b04f::span:1421:1434	-1
004424ba-50ef-49d2-9053-b1218d07b04f::span:1494:1498	004424ba-50ef-49d2-9053-b1218d07b04f::span:1739:1753	-1
004424ba-50ef-49d2-9053-b1218d07b04f::span:1833:1837	004424ba-50ef-49d2-9053-b1218d07b04f::span:1989:2003	-1
006240a3-b254-4920-a1a1-35f54898a5ec::span:355:362	006240a3-b254-4920-a1a1-35f54898a5ec::span:487:491	1
009a68cc-7d1b-44a2-8d92-f7e2669175f6::span:0:10	009a68cc-7d1b-44a2-8d92-f7e2669175f6::span:104:115	-1
00a98d7c-7fec-437e-8787-4f53149ca90f::span:103:117	00a98d7c-7fec-437e-8787-4f53149ca90f::span:351:366	1
0100a153-59fe-43fa-aaa8-f6efc7934293::span:1610:1619	0100a153-59fe-43fa-aaa8-f6efc7934293::span:1678:1682	-1
010c5909-5759-4696-b12c-d9b5fb159d9f::span:1513:1519	010c5909-5759-4696-b12c-d9b5fb159d9f::span:1719:1723	-1
010c5909-5759-4696-b12c-d9b5fb159d9f::span:2549:2559	010c5909-5759-4696-b12c-d9b5fb159d9f::span:2744:2758	-1
01c6035e-4a58-4318-b4ed-eed6a5ad61e8::span:123:135	01c6035e-4a58-4318-b4ed-eed6a5ad61e8::span:237:256	-1
01c6035e-4a58-4318-b4ed-eed6a5ad61e8::span:1754:1758	01c6035e-4a58-4318-b4ed-eed6a5ad61e8::span:1798:1803	1
023b7efa-458b-4385-835f-b6553753cdef::span:479:486	023b7efa-458b-4385-835f-b6553753cdef::span:624:628	1
0245ab6a-9065-40f2-a6a7-24c62280d32b::span:419:429	0245ab6a-9065-40f2-a6a7-24c62280d32b::span:788:798	-1
0245ab6a-9065-40f2-a6a7-24c62280d32b::span:962:971	0245ab6a-9065-40f2-a6a7-24c62280d32b::span:1069:1079	-1
0245ab6a-9065-40f2-a6a7-24c62280d32b::span:1865:1869	0245ab6a-9065-40f2-a6a7-24c62280d32b::span:2098:2108	1
02916566-d3e3-4040-993e-fda21a19121e::span:784:789	02916566-d3e3-4040-993e-fda21a19121e::span:1066:1080	-1
02beff2c-d8e0-47f9-9c16-f2459ba89db7::span:114:125	02beff2c-d8e0-47f9-9c16-f2459ba89db7::span:138:155	1
02d28770-5fea-46b1-a1e8-e9391c941190::span:711:715	02d28770-5fea-46b1-a1e8-e9391c941190::span:948:952	-1
02d28770-5fea-46b1-a1e8-e9391c941190::span:2499:2512	02d28770-5fea-46b1-a1e8-e9391c941190::span:2739:2750	-1
02d28770-5fea-46b1-a1e8-e9391c941190::span:5966:5981	02d28770-5fea-46b1-a1e8-e9391c941190::span:6053:6058	-1
0361dfac-41c3-4ffd-90fe-578ce4b7b65b::span:951:954	0361dfac-41c3-4ffd-90fe-578ce4b7b65b::span:1051:1063	-1
0361dfac-41c3-4ffd-90fe-578ce4b7b65b::span:1728:1734	0361dfac-41c3-4ffd-90fe-578ce4b7b65b::span:1937:1944	-1
0361dfac-41c3-4ffd-90fe-578ce4b7b65b::span:2028:2036	0361dfac-41c3-4ffd-90fe-578ce4b7b65b::span:2188:2200	-1
0389cbfe-e27b-423c-9469-df90c12de014::span:481:493	0389cbfe-e27b-423c-9469-df90c12de014::span:712:720	1
0389cbfe-e27b-423c-9469-df90c12de014::span:2456:2462	0389cbfe-e27b-423c-9469-df90c12de014::span:2735:2753	-1
0389cbfe-e27b-423c-9469-df90c12de014::span:2735:2753	0389cbfe-e27b-423c-9469-df90c12de014::span:2805:2818	-1
03927ab0-2027-48fb-8ba7-e7d9771b1bf8::span:1644:1647	03927ab0-2027-48fb-8ba7-e7d9771b1bf8::span:1872:1883	-1
03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:3104:3116	03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:3211:3219	-1
03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:3576:3586	03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:3720:3734	-1
03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:5366:5376	03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:5567:5577	-1
